,id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
3370,7164164,dd3c23d9f3fa,0,65,191,12826,3,131361,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:38,2020-04-07 12:40:38
3371,7162344,dd3c23d9f3fa,0,65,191,12826,3,131361,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:38,2020-04-07 12:40:39
3372,7164850,dd3c23d9f3fa,0,56,200,12826,3,131369,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:40,2020-04-07 12:40:46
3373,7163341,dd3c23d9f3fa,0,70,186,12826,3,131369,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:40,2020-04-07 12:40:42
3374,7164898,dd3c23d9f3fa,0,70,186,12826,3,131369,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:40,2020-04-07 12:40:40
3375,7164926,dd3c23d9f3fa,0,56,200,12826,3,131369,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:40,2020-04-07 12:40:40
3376,7163934,dd3c23d9f3fa,0,57,199,12826,3,131387,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:43,2020-04-07 12:40:44
3377,7164985,dd3c23d9f3fa,0,57,199,12826,3,131387,0201060303aafe1116aafe20000cfc17c0004cab59021bb67c,2020-04-07 12:40:43,2020-04-07 12:40:47
3378,7166623,dd3c23d9f3fa,0,57,199,12826,3,131387,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:43,2020-04-07 12:40:43
3379,7166647,dd3c23d9f3fa,0,57,199,12826,3,131387,0201060303aafe1116aafe20000cfc17c0004cab59021bb67c,2020-04-07 12:40:43,2020-04-07 12:40:43
3380,7166774,dd3c23d9f3fa,0,70,186,12826,3,131392,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:44,2020-04-07 12:40:44
3381,7164258,dd3c23d9f3fa,0,70,186,12826,3,131392,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:44,2020-04-07 12:40:44
