id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
53140800,dd3c23d9f3fa,0,67,189,113414,3,1793967,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53143570,dd3c23d9f3fa,0,85,171,113414,4,1793838,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53144648,dd3c23d9f3fa,0,88,168,113414,2,1793973,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53145332,dd3c23d9f3fa,0,85,171,113414,4,1793822,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53147339,dd3c23d9f3fa,0,87,169,113414,4,1793882,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53148795,dd3c23d9f3fa,0,59,197,113414,3,1793939,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53151482,dd3c23d9f3fa,0,57,199,113414,3,1793927,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53155991,dd3c23d9f3fa,0,58,198,113414,3,1793943,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53156152,dd3c23d9f3fa,0,58,198,113414,3,1794027,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53156180,dd3c23d9f3fa,0,55,201,113414,3,1794027,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
